book_id,search_key,book_title,book_subtitle,book_authors,book_publisher,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year
KTgzEAAAQBAJ,history,Classic Computer Science Problems in Swift,Essential techniques for practicing programmers,David Kopec,Simon and Schuster,"Summary Classic Computer Science Problems in Swift invites readers to invest their energy in some foundational techniques that have been proven to stand the test of time. Along the way they'll learn intermediate and advanced features of the Swift programming language, a worthwhile skill in its own right. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Technology Don't just learn another language. Become a better programmer instead. Today's awesome iOS apps stand on the shoulders of classic algorithms, coding techniques, and engineering principles. Master these core skills in Swift, and you'll be ready for AI, data-centric programming, machine learning, and the other development challenges that will define the next decade. About the Book Classic Computer Science Problems in Swift deepens your Swift language skills by exploring foundational coding techniques and algorithms. As you work through examples in search, clustering, graphs, and more, you'll remember important things you've forgotten and discover classic solutions to your ""new"" problems. You'll appreciate author David Kopec's amazing ability to connect the core disciplines of computer science to the real-world concerns of apps, data, performance, and even nailing your next job interview! What's Inside Breadth-first, depth-first, and A* search algorithms Constraint-satisfaction problems Solving problems with graph algorithms Neural networks, genetic algorithms, and more All examples written in Swift 4.1 About the Reader For readers comfortable with the basics of Swift. About the Author David Kopec is an assistant professor of computer science and innovation at Champlain College in Burlington, Vermont. He is an experienced iOS developer and the author of Dart for Absolute Beginners. Table of Contents Small problems Search problems Constraint-satisfaction problems Graph problems Genetic algorithms K-means clustering Fairly simple neural networks Miscellaneous problems","9781638356110, 1638356114",True,False,322,Computers,en,http://books.google.com/books/content?id=KTgzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,2086.24,INR,2086.24,INR,https://play.google.com/store/books/details?id=KTgzEAAAQBAJ&rdid=book-KTgzEAAAQBAJ&rdot=1&source=gbs_api,2018
zjqzDAEACAAJ,history,Python for Everybody,Exploring Data in Python 3,Charles R. Severance,,"Python for Everybody is designed to introduce students to programming and software development through the lens of exploring data. You can think of the Python programming language as your tool to solve data problems that are beyond the capability of a spreadsheet.Python is an easy to use and easy to learn programming language that is freely available on Macintosh, Windows, or Linux computers. So once you learn Python you can use it for the rest of your career without needing to purchase any software.This book uses the Python 3 language. The earlier Python 2 version of this book is titled ""Python for Informatics: Exploring Information"".There are free downloadable electronic copies of this book in various formats and supporting materials for the book at www.pythonlearn.com. The course materials are available to you under a Creative Commons License so you can adapt them to teach your own Python course.","1530051126, 9781530051120",False,False,242,,en,http://books.google.com/books/content?id=zjqzDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,5,IN,NOT_FOR_SALE,False,,,,,,2016
6omNDQAAQBAJ,history,Python Data Science Handbook,Essential Tools for Working with Data,Jake VanderPlas,"""O'Reilly Media, Inc.""","For many researchers, Python is a first-class tool mainly because of its libraries for storing, manipulating, and gaining insight from data. Several resources exist for individual pieces of this data science stack, but only with the Python Data Science Handbook do you get them all—IPython, NumPy, Pandas, Matplotlib, Scikit-Learn, and other related tools. Working scientists and data crunchers familiar with reading and writing Python code will find this comprehensive desk reference ideal for tackling day-to-day issues: manipulating, transforming, and cleaning data; visualizing different types of data; and using data to build statistical or machine learning models. Quite simply, this is the must-have reference for scientific computing in Python. With this handbook, you’ll learn how to use: IPython and Jupyter: provide computational environments for data scientists using Python NumPy: includes the ndarray for efficient storage and manipulation of dense data arrays in Python Pandas: features the DataFrame for efficient storage and manipulation of labeled/columnar data in Python Matplotlib: includes capabilities for a flexible range of data visualizations in Python Scikit-Learn: for efficient and clean Python implementations of the most important and established machine learning algorithms","9781491912133, 1491912138",True,True,609,Computers,en,http://books.google.com/books/content?id=6omNDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2016
flRFgvAU7N8C,history,Programming in Python 3,A Complete Introduction to the Python Language,Mark Summerfield,Addison-Wesley Professional,"A Fully Revised Edition Featuring New Material on Coroutines, Debugging, Testing, Parsing, String Formatting, and More Python 3 is the best version of the language yet: It is more powerful, convenient, consistent, and expressive than ever before. Now, leading Python programmer Mark Summerfield demonstrates how to write code that takes full advantage of Python 3’s features and idioms. Programming in Python 3, Second Edition, brings together all the knowledge you need to write any program, use any standard or third-party Python 3 library, and create new library modules of your own. Summerfield draws on his many years of Python experience to share deep insights into Python 3 development you won’t find anywhere else. He begins by illuminating Python’s “beautiful heart”: the eight key elements of Python you need to write robust, high-performance programs. Building on these core elements, he introduces new topics designed to strengthen your practical expertise–one concept and hands-on example at a time. Coverage includes Developing in Python using procedural, objectoriented, and functional programming paradigms Creating custom packages and modules Writing and reading binary, text, and XML files, including optional compression, random access, and text and XML parsing Leveraging advanced data types, collections, control structures, and functions Spreading program workloads across multiple processes and threads Programming SQL databases and key—value DBM files Debugging techniques–and using Test Driven Development to avoid bugs in the first place Utilizing Python’s regular expression mini-language and module Parsing techniques, including how to use the third-party PyParsing and PLY modules Building usable, efficient, GUI-based applications Advanced programming techniques, including generators, function and class decorators, context managers, descriptors, abstract base classes, metaclasses, coroutines, and more Programming in Python 3, Second Edition, serves as both tutorial and language reference. It assumes some prior programming experience, and it is accompanied by extensive downloadable example code–all of it tested with Python 3 on Windows, Linux, and Mac OS X.","9780321699879, 0321699874",True,True,648,Computers,en,http://books.google.com/books/content?id=flRFgvAU7N8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2009
ePyeNz2Eoy8C,history,Learning Python,Powerful Object-Oriented Programming,Mark Lutz,"""O'Reilly Media, Inc.""","""Based on author Mark Lutz's popular training course, this updated fifth edition will help you quickly write efficient, high-quality code with Python. It's an ideal way to begin, whether you're new to programming or a professional developer versed in other languages.""--Provided by publisher.","9781449355715, 1449355714",False,True,1645,Computers,en,http://books.google.com/books/content?id=ePyeNz2Eoy8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,1,IN,NOT_FOR_SALE,False,,,,,,2013
hbJ5DwAAQBAJ,history,Introduction to Python Programming,,"Gowrishankar S, Veena A",CRC Press,"Introduction to Python Programming is written for students who are beginners in the field of computer programming. This book presents an intuitive approach to the concepts of Python Programming for students. This book differs from traditional texts not only in its philosophy but also in its overall focus, level of activities, development of topics, and attention to programming details. The contents of the book are chosen with utmost care after analyzing the syllabus for Python course prescribed by various top universities in USA, Europe, and Asia. Since the prerequisite know-how varies significantly from student to student, the book’s overall overture addresses the challenges of teaching and learning of students which is fine-tuned by the authors’ experience with large sections of students. This book uses natural language expressions instead of the traditional shortened words of the programming world. This book has been written with the goal to provide students with a textbook that can be easily understood and to make a connection between what students are learning and how they may apply that knowledge. Features of this book This book does not assume any previous programming experience, although of course, any exposure to other programming languages is useful This book introduces all of the key concepts of Python programming language with helpful illustrations Programming examples are presented in a clear and consistent manner Each line of code is numbered and explained in detail Use of f-strings throughout the book Hundreds of real-world examples are included and they come from fields such as entertainment, sports, music and environmental studies Students can periodically check their progress with in-chapter quizzes that appear in all chapters","9781351013215, 1351013211",True,True,410,Computers,en,http://books.google.com/books/content?id=hbJ5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2018
mh0bU6NXrBgC,history,Core Python Programming,,Wesley Chun,Prentice Hall Professional,"Experts and novices alike will be able to find information about every command they'll need to use Linux. This complete, practical desk reference is organized by function, with a road map-style alphabetical reference for quick access of information about all aspects of running and administering the program. The CD-ROM contains Windows and Linux Python distributions plus extensive cross-platform source code from the book.","9780130260369, 0130260363",False,True,805,Computers,en,http://books.google.com/books/content?id=mh0bU6NXrBgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,13,3.5,IN,NOT_FOR_SALE,False,,,,,,2001
mJwIEQAAQBAJ,history,Python Packages,,"Tomas Beuzen, Tiffany Timbers",CRC Press,"Python Packages introduces Python packaging at an introductory and practical level that’s suitable for those with no previous packaging experience. Despite this, the text builds up to advanced topics such as automated testing, creating documentation, versioning and updating a package, and implementing continuous integration and deployment. Covering the entire Python packaging life cycle, this essential guide takes readers from package creation all the way to effective maintenance and updating. Python Packages focuses on the use of current and best-practice packaging tools and services like poetry, cookiecutter, pytest, sphinx, GitHub, and GitHub Actions. Features: The book’s source code is available online as a GitHub repository where it is collaborated on, automatically tested, and built in real time as changes are made; demonstrating the use of good reproducible and clear project workflows. Covers not just the process of creating a package, but also how to document it, test it, publish it to the Python Package Index (PyPI), and how to properly version and update it. All concepts in the book are demonstrated using examples. Readers can follow along, creating their own Python packages using the reproducible code provided in the text. Focuses on a modern approach to Python packaging with emphasis on automating and streamlining the packaging process using new and emerging tools such as poetry and GitHub Actions.","9781000555066, 1000555062",False,True,243,Computers,en,http://books.google.com/books/content?id=mJwIEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,4146.52,INR,4146.52,INR,https://play.google.com/store/books/details?id=mJwIEQAAQBAJ&rdid=book-mJwIEQAAQBAJ&rdot=1&source=gbs_api,2022
SblIEAAAQBAJ,history,Let Us Python,,"Kanetkar Aditya Yashavant, Kanetkar",BPB Publications,"Learn Python Quickly, A Programmer-Friendly GuideDESCRIPTIONMost Programmer's learning Python are usually comfortable with some or the other programming language and are not interested in going through the typical learning curve of learning the first programming language. Instead, they are looking for something that can get them off the ground quickly. They are looking for similarities and differences in a feature that they have used in other language(s). This book should help them immediately. It guides you from the fundamentals of using module through the use of advanced object orientation. KEY FEATURESStrengthens the foundations, as detailed explanation of programming language concepts are given in simple manner. Lists down all the important points that you need to know related to various topics in an organized manner.Prepares you for coding related interview and theoretical questions.Provides In depth explanation of complex topics and Questions.Focuses on how to think logically to solve a problem.Follows a systematic approach that will help you to prepare for an interview in short duration of time.Exercises are exceptionally useful to complete the reader's understanding of a topic. WHAT WILL YOU LEARNData types, Control flow instructions, console & File Input/OutputStrings, list & tuples, List comprehensionSets & Dictionaries, Functions & LambdasDictionary ComprehensionModules, classes and objects, InheritanceOperator overloading, Exception handlingIterators & Generators, Decorators, Command-line Parsing WHO THIS BOOK IS FORStudents, Programmers, researchers, and software developers who wish to learn the basics of Python programming language. Table of Contents 1. Introduction to Python2. Python Basics 3. Strings4. Decision Control Instruction5. Repetition Control Instruction6. Console Input/Output7. Lists8. Tuples9. Sets10. Dictionaries11. Comprehensions12. Functions13. Recursion14. Functional Programming15. Modules and Packages16. Namespaces17. Classes and Objects18. Intricacies of Classes and Objects19. Containership and Inheritance20. Iterators and Generators21. Exception Handling22. File Input/Output 23. Miscellany24. Multi-threading25. SynchronizationAUTHOR BIOYashavant KanetkarThrough his books and Quest Video Courses on C, C++, Java, Python, Data Structures, .NET, IoT, etc. Yashavant Kanetkar has created, moulded and groomed lacs of IT careers in the last three decades. Yashavant's books and Quest videos have made a significant contribution in creating top-notch IT manpower in India and abroad.Yashavant's books are globally recognized and millions of students / professionals have benefitted from them. Yashavant's books have been translated into Hindi, Gujarati, Japanese, Korean and Chinese languages. Many of his books are published in India, USA, Japan, Singapore, Korea and China.Yashavant is a much sought after speaker in the IT field and has conducted seminars/workshops at TedEx, IITs, IIITs, NITs and global software companies.Yashavant has been honored with the prestigious ""e;Distinguished Alumnus Award""e; by IIT Kanpur for his entrepreneurial, professional and academic excellence. This award was given to top 50 alumni of IIT Kanpur who have made significant contribution towards their profession and betterment of society in the last 50 years. In recognition of his immense contribution to IT education in India, he has been awarded the ""e;Best .NET Technical Contributor""e; and ""e;Most Valuable Professional""e; awards by Microsoft for 5 successive years.Yashavant holds a BE from VJTI Mumbai and M.Tech. from IIT Kanpur. Yadhavant's current affiliations include being a Director of KICIT Pvt Ltd. And KSET Pvt Ltd.His Linkedin profile: linkedin.com/in/yashavant-kanetkar-9775255 Aditya KanetkarAditya Kanetkar is currently working as a backend Software Engineer at Microsoft, Redmond, USA. He has been designing distributed systems software for the last 4 years. He has worked at multiple companies in the past, including Oracle, Redfin, Amazon and Arista Networks.Aditya holds a Master's Degree in Computer Science from Georgia Tech, Atlanta and a Bachelor's Degree in Computer Science and Engineering from IIT Guwahati. His current passion is anything remotely connected to Python, Machine Learning, Distributed Systems, Cloud Computing and and C# related technologies.His Linkedin Profile: linkedin.com/in/aditya-kanetkar-a4292397","9789389845037, 9389845033",True,True,390,Computers,en,http://books.google.com/books/content?id=SblIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,1015.5,INR,507.75,INR,https://play.google.com/store/books/details?id=SblIEAAAQBAJ&rdid=book-SblIEAAAQBAJ&rdot=1&source=gbs_api,2020
HFeGvgEACAAJ,history,The Quick Python Book,,"Vernon L. Ceder, Naomi R. Ceder",Manning Publications Company,"Introduces the programming language's syntax, control flow, and basic data structures and covers its interaction with applications and mangement of large collections of code.","193518220X, 9781935182207",False,False,336,Computers,en,http://books.google.com/books/content?id=HFeGvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2010
d_f1DwAAQBAJ,history,Python Workout,50 ten-minute exercises,Reuven M. Lerner,Manning,"The only way to master a skill is to practice. In Python Workout, author Reuven M. Lerner guides you through 50 carefully selected exercises that invite you to flex your programming muscles. As you take on each new challenge, you’ll build programming skill and confidence. Summary The only way to master a skill is to practice. In Python Workout, author Reuven M. Lerner guides you through 50 carefully selected exercises that invite you to flex your programming muscles. As you take on each new challenge, you’ll build programming skill and confidence. The thorough explanations help you lock in what you’ve learned and apply it to your own projects. Along the way, Python Workout provides over four hours of video instruction walking you through the solutions to each exercise and dozens of additional exercises for you to try on your own. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the technology To become a champion Python programmer you need to work out, building mental muscle with your hands on the keyboard. Each carefully selected exercise in this unique book adds to your Python prowess—one important skill at a time. About the book Python Workout presents 50 exercises that focus on key Python 3 features. In it, expert Python coach Reuven Lerner guides you through a series of small projects, practicing the skills you need to tackle everyday tasks. You’ll appreciate the clear explanations of each technique, and you can watch Reuven solve each exercise in the accompanying videos. What's inside 50 hands-on exercises and solutions Coverage of all Python data types Dozens more bonus exercises for extra practice About the reader For readers with basic Python knowledge. About the author Reuven M. Lerner teaches Python and data science to companies around the world. Table of Contents 1 Numeric types 2 Strings 3 Lists and tuples 4 Dictionaries and sets 5 Files 6 Functions 7 Functional programming with comprehensions 8 Modules and packages 9 Objects 10 Iterators and generators","9781617295508, 1617295507",False,False,246,Computers,en,http://books.google.com/books/content?id=d_f1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2020
